citing_opinion_id,cited_opinion_id
1080936,3892741
1080936,1521337
1080936,2409220
1080936,1680638
1080936,524677
1081658,107488
1081658,2443840
1081658,1740283
1039153,1985292
1039153,1965418
1039153,2338755
1039153,2556812
1042462,2288388
1042462,2614075
1042462,2245884
1042462,2255479
1045408,2465636
1045408,1630405
1045408,1506546
1045408,1057707
1045408,108215
1045408,107951
1045408,1076209
1045408,2333234
1045408,1057843
1045408,1058839
1045408,1577336
1045408,2457978
1045408,1746202
1048200,1058693
1048200,1732359
1048200,1525224
1629615,385826
1629615,110761
1629615,289844
1629615,390197
1629615,399163
1629615,108362
1629615,105152
1629615,355915
1629615,321091
1629615,108489
1629615,107082
1629615,109643
1629615,100694
1629615,333145
1629615,109530
1629615,107485
1629615,351711
1629615,109538
1629615,293484
1629615,106605
1629615,108154
1629615,108795
1632023,1111728
1632023,1898530
1632023,1946023
1632023,1089968
1632023,1702329
1632023,1116734
1632023,1961793
1632023,1694788
1632023,1720651
1632023,1702434
1632023,1835344
1632023,1661142
1632023,1688272
1632023,1821287
1632023,1771881
1632023,1805548
1632023,1740535
1632023,1794814
1634283,2461064
1634283,2188045
1634283,1764622
1634283,1775811
1634283,1759769
1634283,2428709
1634283,2363304
1634283,1577389
1634283,1799217
1634283,2468403
1634283,3957430
1634283,1591114
1634283,1485374
1634283,2382146
1634283,1487299
1634283,1636677
1634283,2419783
1634283,1621064
1634283,2461258
1634283,1382990
1634283,1426767
1634283,2384082
1634283,1575784
1634283,2449770
1634283,1516651
1634283,1754997
1634283,2454652
1634283,2384767
1636735,112155
1636735,390883
1636735,1744932
1636735,106022
1636735,316109
1636735,110959
1636735,2406032
1636735,106865
1636735,1390051
1636735,1727029
1636735,488054
1636735,107831
1636735,1509476
1636735,2410479
1636735,111262
